id,id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,currency,price_period,title,description,property_type,operation_type,details,additionals,services,l4,l5,l6
41,41,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4609785,-34.5534919,Argentina,Capital Federal,Nuñez,2.0,1.0,1.0,60.58,60.58,,USD,,"Cuba Al 2800 - Departamento en Venta en Nuñez, CABA de 60.58 m2 con 1 dormitorio, 1 baño, a .","Departamento - Nuñez Venta a Estrenar Dos Ambientes Luminoso<br>NUÑEZ VENTA DEPARTAMENTO A ESTRENAR<br>Diseño moderno y Excelente calidad constructiva. Super luminoso.<br>Amplio living con Cocina completa integrada. Anafe, horno y extractor de acero inoxidable eléctrico sobre mesada de granito doble.<br>Toilette de recepción completo.<br>Dormitorio en suite.<br>Excelentes terminaciones. Puertas altas. Detalles de diseño. Interiores de placards completos.<br>Grifería FV de alta calidad. Cerámicos y artefactos sanitarios exclusivos. Mesada de Mármol y espejo instalado.<br>Termotanque. Carpintería de aluminio anodizado, Aberturas de DVH para asegurar el comfort interno.<br>Pisos de cerámicos símil madera. Equipos de Aires Acondicionado Frío / Calor instalados.<br><br>Edificio de lindisima entrada con diseño moderno.<br>Dos unidades por piso.<br>Son ocho pisos.<br>Con amenities Parrilla, Sum, Terraza, Solarium y Jacuzzi.<br>Hall de entrada con iluminación LED y sistema de control seguridad 24hs. Instalación de Grupo Electrógeno e iluminación de emergencia automática. Cocheras en PB (opcional) con portón automático.",Departamento,Venta,"Superficie 60.58m2, Ambientes 2, Baños 1, Dormitorios 1, Toilette 1, Cantidad de pisos 8","SUM, Terraza","Gas, Luz",,,
63,63,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.3708529,-34.6274678,Argentina,Capital Federal,San Telmo,1.0,,1.0,52.66,52.66,,USD,,"Defensa Al 1600 - Departamento en Venta en San Telmo, CABA de 52.66 m2, 1 baño, a .","Una vez más decidimos trabajar en San Telmo, el barrio más característico&nbsp;de Buenos Aires. Junto con el Arquitecto Daniel Becker, diseñamos este bonito edificio que combina arquitectura clásica y moderna. Defensa 1657, un proyecto de 11 niveles con unidades de 1 y 3 ambientes.<br>El proyecto se encuentra ubicado en el tradicional barrio porteño de San Telmo, un barrio que en los últimos años se revalorizó completamente. Se emplaza sobre la calle Defensa 1657, en una zona residencial, profesional y turística.<br><br>Así&nbsp;mismo, está próximo a lugares públicos y de entretenimiento, parques y plazas y a varios transportes públicos de la ciudad, lo que revaloriza el producto, convirtiendo al proyecto en un edificio de alta categoría.<br> <br>El proyecto se destaca por la combinación de arquitectura clásica y&nbsp;contemporánea que tiene su fachada, producto de la conversación&nbsp;del frente patrimonial y el diseño desarrollado por el arquitecto Daniel Becker.<br> <br>- Piso vinílico.- Carpintería de aluminio DVH.- Muebles d e cocina revestidos en Melamina.- Mesadas de granito en cocina y mármol en baño.- Griferías y artefactos sanitarios de primera marca.- Hall de acceso con doble altura y clásico diseño.- Anafes eléctricos en monoambientes y cocinas en eléctrica.- Aire acondicionado frio y calor instalado.- Laundry.- Agua caliente central.- Cerradura electrónica en las puertas de acceso a los departamentos.<br>""Se deja constancia que las medidas y superficies indicados son aproximados y al sólo efecto orientativo. Las medidas reales surgirán del título de propiedad respectivo. Las medidas parciales y/o de los ambientes y el valor consignado de expensas mensuales está sujeto a verificación y/o ajuste. Fotos de carácter no contractual.""<br><br><br>*La presente oferta de venta está condicionada a la confección del COTI por parte del propietario. (Res.AFIP 2371). Las medidas son aproximadas y orientativas. Las medidas exactas surgirán del título de propiedad*<br><br><br><br> <br> “En cumplimiento de la Ley 2340 CUCICBA, Ley 10.973 de la Prov.Bs.As., Ley Nacional 25.028, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los agentes NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte de los martilleros y corredores colegiados, cuyos datos se exhiben debajo del nombre de la inmobiliaria.”",Departamento,Venta,"Superficie 52.66m2, Ambientes 1, Baños 1","Aire Acondicionado, SUM, Laundry, Gimnasio",Luz,,,
190,190,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4633205,-34.6174518,Argentina,Capital Federal,Paternal,2.0,1.0,1.0,55.0,55.0,,USD,,"Boyacá Al 900 - Departamento en Venta en Paternal, CABA de 55 m2 con 1 dormitorio, 1 baño, a .","PH de 2 Ambientes en Excelente Estado - Boyacá al 900, Paternal<br>Propiedad en PB - Sin Expensas<br><br>Muy lindo PH con restauración completa.<br>- Superficie: 45 m2 - El edificio tiene 2 niveles&nbsp;<br>- Patio con parilla de buen tiraje <br>- Instalación eléctrica NUEVA<br>- Cañería de gas NUEVA<br>- Griferías de 1ra calidad<br>- Habitación&nbsp;en suite<br>- Piso de pinotea restaurados a NUEVO<br>- Ventilación cruzada <br>- Apto profesional <br>- Apto mascotas <br>- Aire acondicionado FRIO / CALOR <br>- Calefacción adicional - Estufa<br>- Cocina completa<br>- Amplios Placards- ABL Anual $8.500<br>Listo para mudarse <br>- Cercano a Av. Gaona y varias líneas de colectivos <br>- A 9 cuadras de SUBTE LINEA A<br>- Cercano a Plaza Irlanda y Plaza Nuestra Señora de La Asunción (La Pampa)<br><br>Colegios cercanos:<br>- Instituto Monseñor Dillon<br>- Santa Brígida",Departamento,Venta,"Superficie 55m2, Ambientes 2, Baños 1, Dormitorios 1, Antigüedad15 años, Cantidad de pisos 2","Aire Acondicionado, Patio, Aceptan Mascotas","Gas, Luz",,,
212,212,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4668956,-34.5706565,Argentina,Capital Federal,Belgrano,6.0,5.0,3.0,488.0,488.0,,USD,,"Sucre Al 3500, Entre E. Martínez Y Av. Melian - Departamento en Venta en Belgrano, CABA de 488 m2 con 5 dormitorios, 3 baños, a .000.","EXCELENTE UBICACIÓN, SUCRE ESQUINA ENRIQUE MARTÍNEZ, AMENITIES DE LUJO<br>Zona de muy buenos colegios.<br><br>Todos los servicios de Belgrano R con las comodidades de un Country. Terreno de 76.73 mts. sobre Sucre y 19.90 mts. sobre Enrique Martínez. Edificio de 4 pisos con, cocheras, juegos para niños, Parrilla exterior, piscina cubierta climatizada de 10 x 5 mts., S.U.M. con parrilla, grupo electrógeno, totalmente rodeado de jardines. Ascensor principal y de servicio.<br><br>Espectacular piso de primera categoría con casi 500 m2 de superficie reciclado totalmente a nuevo hace 9 años con terminaciones exclusivas. Dos puertas de acceso blindadas. Alarma y cámaras de seguridad. Aberturas con doble vidrio hermético. Imponente y luminoso living comedor de 12 x 13 mts. con hogar a leña, salida a balcón, y vistas a los jardines y la calle. Toilette de recepción. Cocina de 5 x 4 mts. y comedor diario de 4 x 4 mts. con balcón propio con cerramiento, isla, anafe, tres hornos eléctricos y heladera/freezer de doble puerta. Lavadero independiente. Dos dependencias de servicio con baño, unificadas. Master suite de 5 x 4 mts. con vestidor o quinto dormitorio y lujoso de 5 x 3 mts con baño. Tres dormitorios de 4.50 x 3.30 mts. con amplios placares de piso a techo y sectores para escritorios + 2 baños completos. Climatización a través de dos equipos marca Trane. Agua caliente por caldera a gas. Se incluye sofisticado equipo de audio con control por bluetooth. Cochera con espacio para 3/4 vehículos.<br><br>IMPORTANTE: ESTOS PRECIOS ESTAN A SUJETOS A APROBACION DEL PROPIETARIO<br><br><br>TASAMOS TU PROPIEDAD EN EL DIA<br>Contamos con profesionales especialmente entrenados para tasar el valor real de los inmuebles y establecer los criterios adecuados para la cotización del mismo, respetando el patrimonio del cliente que nos confía su propiedad. <br>MATRICULA CUCICBA 3512",Departamento,Venta,"Superficie 488m2, Ambientes 6, Baños 3, Cocheras 4, Dormitorios 5, Toilette 1, Antigüedad40 años, Cantidad de pisos 3","Pileta, Aire Acondicionado, SUM, Alarma, Balcón","Gas, Luz",,,
248,248,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4309183,-34.5796924,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,86.0,86.0,,USD,,"Paraguay Al 5200 - PH en Venta en Palermo, CABA de 86 m2 con 2 dormitorios, 1 baño, a .","IMPERDIBLE PH EN PALERMO HOLLYWOOD - C/ Altillo o Playroom <br>A metros de Av Santa Fe y Av Juan B Justo. Zonas de bares y restaurantes, cercano a Palermo soho.<br><br>Espectacular PH de 3 ambientes en increíble ubicación. 86 m2 cubiertos. RECICLADO Y MUY LUMINOSO!<br><br>Se ingresa por PB (hall central) y escalera al 2do piso (frente). Desde la puerta de entrada se puede apreciar un amplio y luminoso living comedor, cocina, 2 habitaciones (grandes dimensiones y placard), toilet y un balcón con puertas corredizas.<br><br>Desde el living, a través de una escalera flotante de madera, se encuentra increíble y luminoso Altillo / playroom con potencialidad a un ambiente de 20 m2 (aprox). El mismo cuenta con ventanas tipo Skylight.<br><br>Expensas muy bajas. <br><br>Medios de Transporte:<br>Estación de Tren: PALERMO / PUENTE PACIFICO.<br>Subte (metro): PALERMO (LINEA D)<br>A metros del Metro Bus de Av Santa Fe, con acceso a prácticamente a la mayoría de líneas de colectivos.<br><br>Se deja constancia que las medidas, superficies, m2 y proporciones consignadas son aproximados, al igual que las medidas parciales y/o de los ambientes esta sujeto a verificación y/o ajuste. El valor indicado de expensas esta sujeto a variación. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual<br><br><br><br>---<br>Se deja constancia que las medidas, superficies, m2 y proporciones consignadas son aproximados, al igual que las medidas parciales y/o de los ambientes esta sujeto a verificación y/o ajuste. El valor indicado de expensas esta sujeto a variación. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual.<br>---<br><br>CLICK APARTS <br><br>Contáctenos :<br><br><br><br>E-mail : ***<br>Web: /<br>Facebook: /<br>Instagram: /",PH,Venta,"Superficie 86m2, Ambientes 3, Baños 1, Dormitorios 2, Toilette 1, Antigüedad45 años",Balcón,,,,
341,341,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4346004,-34.6040588,Argentina,Capital Federal,Caballito,2.0,1.0,1.0,31.0,31.0,,USD,,"Río De Janeiro 1000* Piso2 C/frente.  Depto. 2 Amb.  Sup. Total: 31m² - Por M² 1.935. - Departamento en Venta en Caballito, CABA de 31 m2 con 1 dormitorio, 1 baño, a .","Tendrá la oportunidad de vivir en un hermoso departamento en el Barrio de Caballito, uno de los más demandados actualmente.<br>Se encuentra cerca del Parque Centenario y a metros de la línea B de Subte, estación Ángel Gallardo. Además, está rodeado de variedad de supermercados, colegios, centros comerciales y hospitales.<br>Está en un segundo piso al contrafrente con habitaciones muy luminosas que tienen suelos de parquet y tiene una superficie total de 31 m².<br>El inmueble sé encuentra totalmente pintado y los pisos lustrados.<br>Cuenta con aire acondicionado, calefactor eskabe, ventiladores de techo y artefactos de luz en todos sus ambientes.<br>Está en condiciones ideales para ocuparlo inmediatamente.<br>Se acepta propiedad en San Miguel o Camioneta 4x4 en pago.<br>------------------------------<br>ESPECIFICACIONES TÉCNICAS<br>Cielorrasos : de enlucido de yeso pintadas al látex.Paredes: de enlucido de yeso pintadas al látex.Carpinterías de madera ( puertas ) terminación al esmalte sintético semimate.Carpinterías metálicas ( perfilería de hierro o chapa de hierro ): al esmalte sintético semimate.Pisos: En ambientes sociales y dormitorios : parquet. En cocina y baño, granito.<br>------------------------------<br>SUPERFICIESuperficie total 31 m²<br>------------------------------<br>PROPIEDAD<br>Departamentos por piso: 6Ascensores principales: 2<br>------------------------------<br>SERVICIOS INDIVIDUALESAire acondicionado split.Calefacción tiró balanceado.<br>------------------------------<br>SERVICIOS CENTRALIZADOSSin servicios centralizados.<br>------------------------------<br>OTROSAntigüedad: 40 Años<br>------------------------------<br>AMENITIESSin amenities.<br>------------------------------<br>BARRIO&nbsp;Caballito, Ciudad de Buenos Aires.Entre las calles Ángel Gallardo y Antonio Machado.&nbsp;------------------------------<br>MEDIOS DE TRANSPORTE<br>Accesibilidad a varias líneas de colectivos.Cerca de la estación Ángel Gallardo, Subte B.<br>------------------------------Ref. histórica:&nbsp;Río de Janeiro es una enorme ciudad costera de Brasil, famosa por sus playas de Copacabana e Ipanema, la estatua del Cristo Redentor de 38 m de alto sobre el cerro del Corcovado y el morro Pan de Azúcar, una cima de granito con teleféricos que ascienden a su cima. La ciudad también es conocida por sus extensas favelas. El estridente festival del Carnaval, con desfiles de carros alegóricos, extravagantes disfraces y bailarines de samba, es considerado el más grande del mundo. ?<br> <br><br>------------------------------------------<br><br>AVISO LEGAL<br><br>Las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario a la inmobiliaria que publica el anuncio y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo por sí o sus profesionales las copias necesarias de la documentación que corresponda.<br><br>------------------------------------------",Departamento,Venta,"Superficie 31m2, Ambientes 2, Baños 1, Dormitorios 1, Antigüedad40 años",Aire Acondicionado,"Gas, Luz",,,
349,349,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4206292693,-34.5753406731,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,47.0,47.0,,USD,,"Fray Justo Santamaría De Oro 2800, Entre Av. Cerviño Y Demaría - Departamento en Venta en Palermo, CABA de 47 m2 con 1 dormitorio, 1 baño, a .","A DOS CUADRAS LOS BOSQUES DE PALERMO Y TRES DE LA ESTACIÓN ""PALERMO"" DE SUBTE D<br>Fray Justo Santamaría de Oro entre Av. Cerviño y Demaría. Excelente ubicación de muy fácil acceso.<br><br>6° piso: Hall de entrada. Toilette de recepción. Luminoso living comedor con cocina americana con muebles completos, artefacto a gas y barra desayunadora.<br>PA: Dormitorio con placard con puertas corredizas espejadas, y baño en suite.<br>Cuenta con: Aire acondicionado: sistema ""Split"", equipos en todos los ambientes. Calefacción Central con control individual en cada unidad. Cocina: Mesada de granito - Porcelanatto en piso y pared - grifería monocomando. Baño en planta alta y toilette en planta baja: Porcellanato en piso y pared.<br>Según titulo de propiedad: 6° piso: superficie cubierta y total de 23,02m² + 7° piso: sup. cub. y total 17,08m²; siendo un total de 40,10m².<br>LA SUPERFICIE REAL ES DE 47m² YA QUE EL 7° PISO TIENE UNA EXTENSIÓN!<br>Opcional en u$s 25.000 Cochera fija y cubierta.<br>AMENITIES: Portero Visor - Piscina - Solarium.<br><br>IMPORTANTE: ESTOS PRECIOS ESTAN A SUJETOS A APROBACION DEL PROPIETARIO<br> <br><br><br>TASAMOS TU PROPIEDAD EN EL DIA<br>Contamos con profesionales especialmente entrenados para tasar el valor real de los inmuebles y establecer los criterios adecuados para la cotización del mismo, respetando el patrimonio del cliente que nos confía su propiedad. <br>MATRICULA CUCICBA 3512",Departamento,Venta,"Superficie 47m2, Ambientes 2, Baños 1, Cocheras 1, Dormitorios 1, Toilette 1, Antigüedad5 años, Cantidad de pisos 10","Pileta, Calefacción","Gas, Luz",,,
419,419,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4609785,-34.5534919,Argentina,Capital Federal,Nuñez,2.0,1.0,1.0,62.32,62.32,,USD,,"Cuba Al 2800 - Departamento en Venta en Nuñez, CABA de 62.32 m2 con 1 dormitorio, 1 baño, a .","Departamento - Nuñez Venta a Estrenar Dos Ambientes Luminoso<br>NUÑEZ VENTA DEPARTAMENTO A ESTRENAR<br>Diseño moderno y Excelente calidad constructiva. Super luminoso.<br>Amplio living con Cocina completa integrada. Anafe, horno y extractor de acero inoxidable eléctrico sobre mesada de granito doble.<br>Toilette de recepción completo.<br>Dormitorio en suite.<br>Excelentes terminaciones. Puertas altas. Detalles de diseño. Interiores de placards completos.<br>Grifería FV de alta calidad. Cerámicos y artefactos sanitarios exclusivos. Mesada de Mármol y espejo instalado.<br>Termotanque. Carpintería de aluminio anodizado, Aberturas de DVH para asegurar el comfort interno.<br>Pisos de cerámicos símil madera. Equipos de Aires Acondicionado Frío / Calor instalados.<br><br>Edificio de lindisima entrada con diseño moderno.<br>Dos unidades por piso.<br>Son ocho pisos.<br>Con amenities Parrilla, Sum, Terraza, Solarium y Jacuzzi.<br>Hall de entrada con iluminación LED y sistema de control seguridad 24hs. Instalación de Grupo Electrógeno e iluminación de emergencia automática. Cocheras en PB (opcional) con portón automático.",Departamento,Venta,"Superficie 62.32m2, Ambientes 2, Baños 1, Dormitorios 1, Toilette 1, Cantidad de pisos 8","SUM, Terraza",,,,
517,517,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.3765564,-34.6367201,Argentina,Capital Federal,Barracas,3.0,2.0,1.0,63.0,63.0,,USD,,"Hornos * 800 Departamento 3 Ambientes C/ Balcón  Apto Prof./comercial. Sup. 63m². Precio Por M²  - Departamento en Venta en Barracas, CABA de 63 m2 con 2 dormitorios, 1 baño, a .","Living comedor con balcón, dos dormitorios, cocina , lavadero y baño. <br><br>Muy luminoso, en excelente estado. <br><br>------------------------------------------------------------------------<br><br>ESPECIFICACIONES TÉCNICAS<br><br>Cielorrasos y paredes de enlucido de yeso pintadas al látex .<br>Carpinterías metálicas (perfilería de hierro o chapa de hierro): al esmalte sintético semimate /brillante.<br>Pisos: en living comedor y dormitorios piso flotante, en areas servicio ,cerámica .<br>2 equipos de aire acondicionado, ventilador de techo en la cocina.<br>Calefacción por losa radiante con regulación de temperatura individual.<br>Expensas $ 6.700.-<br>ABL:<br>AySa por expensas. <br><br>------------------------------------------------------------------------<br><br>OTROS<br>Encargado con vivienda. <br>Antigüedad: 20 años. <br><br>------------------------------------------------------------------------<br><br>BARRIO<br>Barracas.<br>------------------------------------------------------------------------<br><br>MEDIOS DE TRANSPORTE<br><br>Varias líneas de colectivos<br>Acceso Au. Pte. Arturo Frondizi<br><br>------------------------------------------------------------------------<br><br>REFERENCIA HISTÓRICA<br><br>Manuel Hornos fue un militar argentino que luchó en las guerras civiles argentinas del lado del partido unitario y en la guerra del Paraguay.<br><br>------------------------------------------------------------------------<br><br><br><br>------------------------------------------<br><br>AVISO LEGAL<br><br>Las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario a la inmobiliaria que publica el anuncio y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo por sí o sus profesionales las copias necesarias de la documentación que corresponda.<br><br>------------------------------------------",Departamento,Venta,"Superficie 63m2, Ambientes 3, Baños 1, Dormitorios 2, Antigüedad12 años","Calefacción, Aire Acondicionado, Balcón","Gas, Luz",,,
578,578,Propiedad,2022-04-01,2022-04-01,2022-04-01,-58.4668376,-34.5694182,Argentina,Capital Federal,Belgrano,4.0,3.0,1.0,96.53,96.53,,USD,,"Departamento En Venta En Belgrano R - Departamento en Venta en Belgrano, CABA de 96.53 m2 con 3 dormitorios, 1 baño, a .","Luminoso 4 ambientes, ubicado en una de las mejores esquinas de Belgrano R.<br> <br> Palier privado. Entrada principal y de servicio.<br>Living, Comedor , Cocina amplia con salida a pequeño patio que cuenta con una parte semi cubierta para lavadero.<br>Tres dormitorios con grandes placares, de no ser necesario el tercer dormitorio se puede volver a la disposición original, quedando así un amplio living comedor en L. Baño completo y de servicio.<br>Todos los pisos son de parquet en excelente estado. Agua caliente central. Calefacción por tiro balanceado.<br>Cuenta con un espacio guardacoche y una baulera de grandes dimensiones.<br><br>Las medidas, monto de expensas y de ABL son aproximados y al solo efecto orientativo. Las medidas reales surgirán del título de propiedad respectivo.<br>La venta de este inmueble está sujeta a la tramitación del Código de Transferencia de Inmuebles (COTI), de conformidad con la normativa vigente (Res. AFIP 2371/08, 2439/08 y ccs.) por parte del propietario.",Departamento,Venta,"Superficie 96.53m2, Ambientes 4, Baños 1, Cocheras 1, Dormitorios 3, Antigüedad38 años",Patio,"Gas, Luz",,,
